UAVs,Mean Time,Std Time,Mean Coalitions,Mean Largest Coalition,Generated Configurations,Maximum Frontier
10,0.00039489350000621926,0.00012845815074346344,0.19,0.29,101.0,99.81
20,0.0010341464999874006,0.0006086284185072251,0.715,0.915,201.18,199.235
30,0.0012406144999749812,0.00036107054511723625,0.96,1.32,301.2,298.885
40,0.0015481690000115123,0.0001753636183050673,1.555,2.105,401.47,398.035
50,0.002006095499964431,0.00029717889581522603,2.365,2.855,502.065,496.915
60,0.002656525499987765,0.001296906735648595,2.955,3.5,602.62,596.13
70,0.00291754649998893,0.0005816504679728488,3.735,3.835,703.38,695.5
80,0.0033018094999579264,0.0005140976051442862,6.715,4.175,807.64,794.735
90,0.0037409664999904636,0.0006391392212515998,6.83,4.695,908.195,894.095
100,0.004812789500074359,0.0014696260954745906,8.06,4.905,1009.86,993.465
